"date","run","replicate","location","value","site"
"3/08/2017",1,1,"WAN",54,"NorthShore"
"3/08/2017",1,2,"WAN",102,"NorthShore"
"3/08/2017",1,3,"WAN",79,"NorthShore"
"3/08/2017",2,1,"WAN",38,"NorthShore"
"3/08/2017",2,2,"WAN",11,"NorthShore"
"3/08/2017",2,3,"WAN",24,"NorthShore"
"3/08/2017",3,1,"WAN",25,"NorthShore"
"3/08/2017",3,2,"WAN",27,"NorthShore"
"3/08/2017",3,3,"WAN",15,"NorthShore"
"9/08/2017",1,1,"WAN",733,"NorthShore"
"18/08/2017",1,1,"WAN",95,"NorthShore"
"18/08/2017",1,2,"WAN",74,"NorthShore"
"18/08/2017",1,3,"WAN",53,"NorthShore"
"18/08/2017",2,1,"WAN",57,"NorthShore"
"18/08/2017",2,2,"WAN",76,"NorthShore"
"18/08/2017",2,3,"WAN",47,"NorthShore"
"18/08/2017",3,1,"WAN",67,"NorthShore"
"18/08/2017",3,2,"WAN",99,"NorthShore"
"18/08/2017",3,3,"WAN",320,"NorthShore"
"28/08/2017",2,1,"WAN",10,"NorthShore"
"28/08/2017",2,2,"WAN",25,"NorthShore"
"28/08/2017",2,3,"WAN",36,"NorthShore"
"28/08/2017",3,1,"WAN",34,"NorthShore"
"28/08/2017",3,2,"WAN",18,"NorthShore"
"28/08/2017",3,3,"WAN",13,"NorthShore"
"14/09/2017",1,1,"WAN",87,"NorthShore"
"14/09/2017",1,2,"WAN",55,"NorthShore"
"14/09/2017",1,3,"WAN",34,"NorthShore"
"14/09/2017",2,1,"WAN",14,"NorthShore"
"14/09/2017",2,2,"WAN",14,"NorthShore"
"14/09/2017",2,3,"WAN",14,"NorthShore"
"14/09/2017",3,1,"WAN",12,"NorthShore"
"14/09/2017",3,2,"WAN",16,"NorthShore"
"14/09/2017",3,3,"WAN",14,"NorthShore"
"18/09/2017",2,1,"WAN",651,"NorthShore"
"18/09/2017",2,2,"WAN",738,"NorthShore"
"18/09/2017",2,3,"WAN",716,"NorthShore"
"18/09/2017",3,1,"WAN",150,"NorthShore"
"18/09/2017",3,2,"WAN",143,"NorthShore"
"18/09/2017",3,3,"WAN",152,"NorthShore"
"27/09/2017",1,1,"WAN",80,"NorthShore"
"27/09/2017",1,2,"WAN",137,"NorthShore"
"27/09/2017",1,3,"WAN",32,"NorthShore"
"27/09/2017",2,1,"WAN",35,"NorthShore"
"27/09/2017",2,2,"WAN",91,"NorthShore"
"27/09/2017",2,3,"WAN",47,"NorthShore"
"27/09/2017",3,1,"WAN",25,"NorthShore"
"27/09/2017",3,2,"WAN",52,"NorthShore"
"27/09/2017",3,3,"WAN",26,"NorthShore"
"3/08/2017",1,1,"WAC",55,"NorthShore"
"3/08/2017",1,2,"WAC",82,"NorthShore"
"3/08/2017",1,3,"WAC",98,"NorthShore"
